,job_title_position,years_of_experience,company_type,job_type,company_size,company_name,used_technology,monthly_salary_usd,monthly_salary_egp,react,react native,typescript,redux,wordpress,js,angular,node,vue,nextjs,jquery,bootstrap
81,Senior,5 to 7 years,Startup company,Hybrid,51-200 employees,Solutions by 42,Angular,1600,49520,0,0,0,0,0,0,1,0,0,0,0,0
82,Mid Sernior,3 to 5 years,Startup company,Remote,51-200 employees,Upper medic,React,544,16836,1,0,0,0,0,0,0,0,0,0,0,0
83,Senior,3 to 5 years,Corporate company,Onsite,51-200 employees,,React,480,14856,1,0,0,0,0,0,0,0,0,0,0,0
84,Tech / Team Lead,+7 years,Corporate company,Remote,51-200 employees,,,6000,185700,0,0,0,0,0,0,0,0,0,0,0,0
85,Junior,1 to 2 years,Startup company,Hybrid,1-50 employees,,React and angular ,256,7923,1,0,0,0,0,0,1,0,0,0,0,0
86,Mid Sernior,3 to 5 years,Corporate company,Remote,,,Vue,640,19808,0,0,0,0,0,0,0,0,1,0,0,0
87,Junior,0-1 year,Startup company,Onsite,1-50 employees,,React,320,9904,1,0,0,0,0,0,0,0,0,0,0,0
88,Junior,1 to 2 years,Product owner ,Remote,1-50 employees,....,React js ,350,10832,1,0,0,0,0,1,0,0,0,0,0,0
89,Junior,1 to 2 years,Corporate company,Remote,51-200 employees,Petroapp ,Angular ,480,14856,0,0,0,0,0,0,1,0,0,0,0,0
90,Junior,2 to 3 years,Out Source company,Remote,51-200 employees,Innovadigits ,React,800,24760,1,0,0,0,0,0,0,0,0,0,0,0
91,Junior,2 to 3 years,Startup company,Hybrid,1-50 employees,VHM,React,192,5942,1,0,0,0,0,0,0,0,0,0,0,0
92,Mid Sernior,2 to 3 years,Corporate company,Hybrid,201+ employees,,Angular,896,27731,0,0,0,0,0,0,1,0,0,0,0,0
93,Junior,1 to 2 years,Corporate company,Onsite,1-50 employees,smk solutions ,React,256,7923,1,0,0,0,0,0,0,0,0,0,0,0
94,Mid Sernior,3 to 5 years,Startup company,Remote,1-50 employees,Zumra,React,700,21665,1,0,0,0,0,0,0,0,0,0,0,0
95,Tech / Team Lead,5 to 7 years,Corporate company,Remote,201+ employees,,,3200,99040,0,0,0,0,0,0,0,0,0,0,0,0
96,Junior,1 to 2 years,Startup company,Hybrid,1-50 employees,,"Angular, React, Vue",96,2971,1,0,0,0,0,0,1,0,1,0,0,0
97,Junior,0-1 year,Startup company,Hybrid,1-50 employees,...,Angular,256,7923,0,0,0,0,0,0,1,0,0,0,0,0
98,Junior,0-1 year,Startup company,Onsite,1-50 employees,Planing Solution - حلول التخطيط,React,192,5942,1,0,0,0,0,0,0,0,0,0,0,0
99,Junior,1 to 2 years,Startup company,Remote,1-50 employees,SyadTech,"Ionic,angular",416,12875,0,0,0,0,0,0,1,0,0,0,0,0
100,Junior,1 to 2 years,Startup company,Hybrid,1-50 employees,AIM Technologies,React,480,14856,1,0,0,0,0,0,0,0,0,0,0,0
101,Senior,2 to 3 years,Startup company,Remote,1-50 employees,,React,640,19808,1,0,0,0,0,0,0,0,0,0,0,0
102,Senior,3 to 5 years,Startup company,Onsite,1-50 employees,,React,1152,35654,1,0,0,0,0,0,0,0,0,0,0,0
103,Mid Sernior,2 to 3 years,Startup company,Remote,1-50 employees,,Angular ,608,18817,0,0,0,0,0,0,1,0,0,0,0,0
104,Junior,0-1 year,Corporate company,Onsite,201+ employees,,Vue,256,7923,0,0,0,0,0,0,0,0,1,0,0,0
105,Mid Sernior,2 to 3 years,Corporate company,Remote,1-50 employees,ibtdi,nuxt,256,7923,0,0,0,0,0,0,0,0,0,0,0,0
106,Junior,1 to 2 years,Out Source company,Remote,1-50 employees,Stars and Stories,Vue,480,14856,0,0,0,0,0,0,0,0,1,0,0,0
107,Junior,2 to 3 years,Startup company,Onsite,1-50 employees,,React-nextjs,441,13667,1,0,0,0,0,1,0,0,0,1,0,0
108,Senior,+7 years,Out Source company,Onsite,201+ employees,,Angular ,6750,208912,0,0,0,0,0,0,1,0,0,0,0,0
109,Senior,3 to 5 years,Corporate company,Hybrid,51-200 employees,,React and the eco system around it,2400,74280,1,0,0,0,0,0,0,0,0,0,0,0
110,Junior,0-1 year,Startup company,Onsite,51-200 employees,,,256,7923,0,0,0,0,0,0,0,0,0,0,0,0
111,Senior,5 to 7 years,Out Source company,Hybrid,1-50 employees,,,960,29712,0,0,0,0,0,0,0,0,0,0,0,0
112,Mid Sernior,1 to 2 years,Startup company,Remote,1-50 employees,,Vue,1222,37820,0,0,0,0,0,0,0,0,1,0,0,0
113,Junior,0-1 year,Startup company,Hybrid,1-50 employees,Cant ,React,192,5942,1,0,0,0,0,0,0,0,0,0,0,0
114,Junior,1 to 2 years,Branding company,Onsite,1-50 employees,Graspstudios,Angular,320,9904,0,0,0,0,0,0,1,0,0,0,0,0
115,Junior,0-1 year,Out Source company,Remote,1-50 employees,,Angular,320,9904,0,0,0,0,0,0,1,0,0,0,0,0
116,Senior,3 to 5 years,Startup company,Hybrid,1-50 employees,Confidential,"Angular, Ionic, Capacitor ",1984,61404,0,0,0,0,0,0,1,0,0,0,0,0
117,Mid Sernior,2 to 3 years,Startup company,Onsite,1-50 employees,,Angular,192,5942,0,0,0,0,0,0,1,0,0,0,0,0
118,Junior,1 to 2 years,Startup company,Remote,1-20,,React,208,6437,1,0,0,0,0,0,0,0,0,0,0,0
119,Senior,5 to 7 years,Out Source company,Remote,201+ employees,,Angular ,1,49,0,0,0,0,0,0,1,0,0,0,0,0
120,Junior,0-1 year,Out Source company,Onsite,1-50 employees,Select ICT,Angular,256,7923,0,0,0,0,0,0,1,0,0,0,0,0
121,Junior,1 to 2 years,Startup company,Remote,1-50 employees,Vijua ,Native js ,307,9507,0,0,0,0,0,1,0,0,0,0,0,0
122,Junior,1 to 2 years,Startup company,Onsite,51-200 employees,Excellent protection,Angular,405,12534,0,0,0,0,0,0,1,0,0,0,0,0
123,Mid Sernior,3 to 5 years,Corporate company,Hybrid,201+ employees,_VOIS,React,665,20600,1,0,0,0,0,0,0,0,0,0,0,0
125,Tech / Team Lead,+7 years,Startup company,Hybrid,1-50 employees,Femto,React,1760,54472,1,0,0,0,0,0,0,0,0,0,0,0
126,Senior,3 to 5 years,Out Source company,Onsite,201+ employees,Cib,React,1,39,1,0,0,0,0,0,0,0,0,0,0,0
127,Junior,0-1 year,Corporate company,Hybrid,201+ employees,,React ,448,13865,1,0,0,0,0,0,0,0,0,0,0,0
128,Mid Sernior,2 to 3 years,Corporate company,Remote,51-200 employees,,JS and angular ,480,14856,0,0,0,0,0,1,1,0,0,0,0,0
129,Mid Sernior,2 to 3 years,Corporate company,Hybrid,201+ employees,,React,960,29712,1,0,0,0,0,0,0,0,0,0,0,0
130,Senior,3 to 5 years,Corporate company,Onsite,1-50 employees,,"HTML, Javascript, React",640,19808,1,0,0,0,0,0,0,0,0,0,0,0
131,Senior,3 to 5 years,Startup company,Hybrid,201+ employees,Noon,React,1024,31692,1,0,0,0,0,0,0,0,0,0,0,0
132,Junior,0-1 year,Out Source company,Onsite,201+ employees,Huawei ,Huawei technology ,208,6437,0,0,0,0,0,0,0,0,0,0,0,0
133,Mid Sernior,2 to 3 years,Corporate company,Hybrid,1-50 employees,,Angular ,720,22284,0,0,0,0,0,0,1,0,0,0,0,0
134,Junior,0-1 year,Startup company,Remote,1-50 employees,,React ,128,3961,1,0,0,0,0,0,0,0,0,0,0,0
135,Mid Sernior,2 to 3 years,Startup company,Hybrid,1-50 employees,,React,352,10894,1,0,0,0,0,0,0,0,0,0,0,0
136,Junior,1 to 2 years,Startup company,Hybrid,1-50 employees,Lead liaison ,React,384,11884,1,0,0,0,0,0,0,0,0,0,0,0
137,Junior,0-1 year,Startup company,Remote,1-50 employees,Terminal,React,160,4952,1,0,0,0,0,0,0,0,0,0,0,0
138,Senior,+7 years,Corporate company,Onsite,1-50 employees,,Angular ,1200,37140,0,0,0,0,0,0,1,0,0,0,0,0
139,Junior,0-1 year,Tech company ,Hybrid,51-200 employees,Eshtri Aqar ,Angular ,320,9904,0,0,0,0,0,0,1,0,0,0,0,0
140,Junior,1 to 2 years,Startup company,Hybrid,1-50 employees,,React,192,5942,1,0,0,0,0,0,0,0,0,0,0,0
141,Junior,2 to 3 years,Corporate company,Hybrid,201+ employees,,Angular,416,12875,0,0,0,0,0,0,1,0,0,0,0,0
142,Senior,10+,Corporate company,Onsite,1512,Bank,"Html, Css, JavaScript ",704,21788,0,0,0,0,0,0,0,0,0,0,0,0
143,Junior,1 to 2 years,Startup company,Onsite,1-50 employees,Digital Hub ,React ,576,17827,1,0,0,0,0,0,0,0,0,0,0,0
144,Senior,3 to 5 years,Out Source company,Remote,1-50 employees,Digi Visions technologies ,Angular,1440,44568,0,0,0,0,0,0,1,0,0,0,0,0
145,Mid Sernior,3 to 5 years,Corporate company,Hybrid,51-200 employees,,React,640,19808,1,0,0,0,0,0,0,0,0,0,0,0
146,Senior,3 to 5 years,Corporate company,Hybrid,201+ employees,,,1040,32188,0,0,0,0,0,0,0,0,0,0,0,0
147,Junior,0-1 year,Startup company,Hybrid,1-50 employees,orial,Angular,288,8913,0,0,0,0,0,0,1,0,0,0,0,0
148,Junior,2 to 3 years,Startup company,Hybrid,1-50 employees,Contactcars.com ,Angular,524,16242,0,0,0,0,0,0,1,0,0,0,0,0
149,Senior,3 to 5 years,Startup company,Remote,51-200 employees,,Angular,2800,86660,0,0,0,0,0,0,1,0,0,0,0,0
150,Tech / Team Lead,+7 years,Corporate company,Remote,1-50 employees,,"Angular, vue",3000,92850,0,0,0,0,0,0,1,0,1,0,0,0
151,Senior,5 to 7 years,Corporate company,Remote,201+ employees,,Angular,1024,31692,0,0,0,0,0,0,1,0,0,0,0,0
152,Junior,0-1 year,Startup company,Onsite,1-50 employees,Brooklyn B.S,react,160,4952,1,0,0,0,0,0,0,0,0,0,0,0
153,Junior,0-1 year,Startup company,Onsite,1-50 employees,Misk,"Angular, JavaScript",288,8913,0,0,0,0,0,0,1,0,0,0,0,0
154,Junior,0-1 year,Startup company,Onsite,1-50 employees,تحول الرقمي,React,160,4952,1,0,0,0,0,0,0,0,0,0,0,0
155,Mid Sernior,0-1 year,Corporate company,Remote,51-200 employees,no,react,1080,33426,1,0,0,0,0,0,0,0,0,0,0,0
156,Mid Sernior,1 to 2 years,Startup company,Hybrid,51-200 employees,penta-b,React,400,12380,1,0,0,0,0,0,0,0,0,0,0,0
157,Junior,1 to 2 years,Startup company,Onsite,1-50 employees,,,160,4952,0,0,0,0,0,0,0,0,0,0,0,0
158,Junior,1 to 2 years,Startup company,Hybrid,1-50 employees,,Angular,250,7737,0,0,0,0,0,0,1,0,0,0,0,0
159,Senior,10+,Corporate company,Remote,201+ employees,,"Java, Angular, SQL",5500,170225,0,0,0,0,0,0,1,0,0,0,0,0
160,Junior,2 to 3 years,Startup company,Part Time,1-50 employees,Spider-Te8,Vue,192,5942,0,0,0,0,0,0,0,0,1,0,0,0
161,Mid Sernior,3 to 5 years,Corporate company,Hybrid,201+ employees,,,1040,32188,0,0,0,0,0,0,0,0,0,0,0,0
162,Junior,1 to 2 years,Corporate company,Remote,1-50 employees,X,Vanilla,192,5942,0,0,0,0,0,0,0,0,0,0,0,0
163,Junior,1 to 2 years,Startup company,Hybrid,1-50 employees,,"Front end (vue, nuxt)",448,13865,0,0,0,0,0,0,0,0,1,0,0,0
164,Junior,0-1 year,Startup company,Onsite,1-50 employees,Bird solutions ,Vue,192,5942,0,0,0,0,0,0,0,0,1,0,0,0
165,Junior,0-1 year,Startup company,Onsite,5,,React,208,6437,1,0,0,0,0,0,0,0,0,0,0,0
166,Junior,0-1 year,Startup company,Onsite,1-50 employees,,,256,7923,0,0,0,0,0,0,0,0,0,0,0,0
167,Junior,1 to 2 years,Startup company,Hybrid,1-50 employees,,React Nextjs ,256,7923,1,0,0,0,0,1,0,0,0,1,0,0
168,Senior,2 to 3 years,Startup company,Hybrid,1-50 employees,,React,960,29712,1,0,0,0,0,0,0,0,0,0,0,0
169,Junior,0-1 year,Startup company,Onsite,1-50 employees,,Angular,304,9408,0,0,0,0,0,0,1,0,0,0,0,0
170,Junior,0-1 year,Startup company,Hybrid,51-200 employees,,react,512,15846,1,0,0,0,0,0,0,0,0,0,0,0
171,Junior,1 to 2 years,Startup company,Onsite,1-50 employees,,"React, Next",288,8913,1,0,0,0,0,0,0,0,0,0,0,0
173,Mid Sernior,2 to 3 years,Startup company,Remote,51-200 employees,Confidential ,Angular,608,18817,0,0,0,0,0,0,1,0,0,0,0,0
174,Senior,2 to 3 years,Startup company,Hybrid,1-50 employees,Confidential ,Angular,1024,31692,0,0,0,0,0,0,1,0,0,0,0,0
175,Senior,5 to 7 years,Out Source company,Hybrid,51-200 employees,,Angular,1504,46548,0,0,0,0,0,0,1,0,0,0,0,0
176,Junior,0-1 year,Startup company,Onsite,1-50 employees,Digital Lines Development ,,80,2476,0,0,0,0,0,0,0,0,0,0,0,0
